epoch,train_loss,train_acc,val_loss,val_acc,f1_score,precision,recall
1,0.6598610877990723,0.628230631351471,0.6174355745315552,0.6990445852279663,0.5305288,0.29230770468711853,0.020925110206007957
2,0.641697108745575,0.6441351771354675,0.6073238849639893,0.7006369233131409,0.5305288,0.8823529481887817,0.016519824042916298
3,0.48081210255622864,0.7809144854545593,0.47483307123184204,0.7866241931915283,0.5305288,0.7117437720298767,0.6607929468154907
4,0.27552998065948486,0.8994035720825195,0.5021350979804993,0.7818471193313599,0.5305288,0.8839390277862549,0.8303964734077454
