epoch,Training Loss,Valid. Loss,Valid. Accur.,Training Time,Validation Time
1,0.4803011781429943,0.35177015140652657,0.8537202380952381,0:00:50,0:00:04
2,0.3196793078810354,0.33554435670375826,0.8521577380952381,0:00:51,0:00:04
3,0.2442802455794962,0.31603268049657346,0.8638392857142858,0:00:52,0:00:04
