,model,vectorizer,train,test,train_auc,test_auc,val_roc,val_precision,val_recall,val_f_score
0,lr,cvec,0.9458814166335058,0.8108108108108109,0.9908710234099913,0.8531128187994209,0.7644726584252145,0.7976190476190477,0.6118721461187214,0.6925064599483205
1,lr,tvec,0.9498607242339833,0.7821939586645469,0.9916753323873062,0.8390856442811003,0.7457122173961467,0.7135416666666666,0.6255707762557078,0.6666666666666666
2,cnb,cvec,0.8758456028651015,0.7869634340222575,0.9528060904450324,0.8584419200356387,0.78766009577904,0.6628352490421456,0.7899543378995434,0.7208333333333332
3,cnb,tvec,0.8702745722244329,0.7647058823529411,0.9421106628788407,0.8496102015814679,0.7578238111148237,0.6414342629482072,0.7351598173515982,0.6851063829787234
4,knn,cvec,0.9912455232789494,0.7488076311605724,0.9975619819734425,0.7267457400601404,0.6467145561866577,0.9066666666666666,0.3105022831050228,0.46258503401360546
5,knn,tvec,0.9876641464385197,0.7154213036565977,0.9989179465448169,0.6743512640605858,0.613659650295133,0.7439024390243902,0.2785388127853881,0.4053156146179402
6,ada,cvec,0.927974532431357,0.7599364069952306,0.9825909621877205,0.776857111036864,0.7180031183873483,0.6827956989247311,0.5799086757990868,0.6271604938271604
7,ada,tvec,0.9900517309988062,0.7599364069952306,0.9986788841711435,0.7629301703975943,0.7243846753536027,0.6717171717171717,0.6073059360730594,0.6378896882494005
